"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Planned and Approved","Whittram Avenue Warehouse","TBD","2025","10","232000"
"Existing","118220014","light industrial","2005","10","231000"
"Existing","023708102","storage warehouse","1987","10","231000"
"Existing","023806306","distribution warehouse","2005","10","231000"
"Existing","6340-018-005","Warehousing, Distribution, Storage","1980","10","231000"
"Existing","295 E Orangethorpe Ave Anaheim, CA 92801","warehouse","1980","10","231000"
"Existing","2750 W Moore Ave Fullerton, CA 92833","warehouse","1980","10","231000"
"Planned and Approved","west valley logistics center","TBD","2025","10","231000"
"Existing","317110079","warehouse/mega","2020","10","230000"
"Existing","305030058","light industrial","1980","10","230000"
"Existing","189160080","light industrial","1980","10","230000"
"Existing","279140023","light industrial","2022","10","230000"
"Existing","020902105","light industrial","1987","10","230000"
"Existing","023817434","distribution warehouse","2001","10","230000"
"Existing","7318-021-039","Warehousing, Distribution, Storage","1986","10","230000"
"Existing","4211-006-017","Warehousing, Distribution, Storage","1980","10","230000"
"Existing","3190 Miraloma Ave Anaheim, CA 92806","warehouse","1980","10","230000"
"Existing","156040087","warehouse/dry storage","2017","10","229000"
"Existing","263320027","light industrial","1980","10","229000"
"Existing","910110048","light industrial","1989","10","229000"
"Existing","025802130","distribution warehouse","2006","10","229000"
"Existing","111016141","distribution warehouse","2022","10","229000"
"Existing","113311119","distribution warehouse","2015","10","229000"
"Existing","7351-020-020","Warehousing, Distribution, Storage","1980","10","229000"
"Existing","6336-009-015","Warehousing, Distribution, Storage","1980","10","229000"
"Existing","3211-014-046","Warehousing, Distribution, Storage","1980","10","229000"
"Existing","3123-001-068","Warehousing, Distribution, Storage","1980","10","229000"
"Existing","249100035","light industrial","1980","10","228000"
"Existing","331220035","light industrial","1989","10","228000"
"Existing","021122270","flex","2003","10","228000"
"Existing","021127538","distribution warehouse","1998","10","228000"
"Existing","021631205","transit warehouse (truck terminal)","2004","10","228000"
"Existing","022933115","light industrial","1989","10","228000"
"Existing","023816178","distribution warehouse","1994","10","228000"
"Existing","023611135","light industrial","1995","10","228000"
"Existing","025811105","transit warehouse (truck terminal)","1995","10","228000"
